Firma A;192687,5;698825,91;-2797,97;698825,91;8429490,94;1068032,1;10479365,36;10537697,48;10680532,1;8399825,28
Firma B;58332,12;1071124,23;84581,58;1068032,1;9132699,75;1848095,91;916436,84;927666;1848095,91;721645,31
Firma C;11229,16;1149270;732874,47;1848095,91;1894968,67;2860445,03;1476320,79;1506320,53;2860445,03;1143323,62
Firma D;29999,75;1789320,81;1173323,36;2860445,03;2029281,31;1182040,81;1119020,02;1151790,83;1182040,81;853186,88
Firma E;32770,81;32770,81;885957,69;1182040,81;856162,33;1795388,38;-4900,73;1166,84;1795388,38;-3092,13
Firma F;6067,57;6067,57;2975,45;1795388,38;741571,61;45837,84;942972,68;988810,51;45837,84;698825,91
Firma G;45837,84;45837,84;744663,74;4583557,84;1855658,4;85708,28;1464144,77;1549853,04;85708,28;1071124,23
Firma H;85708,28;85708,28;1901496,23;131546,11;2929758,06;1881096,65;440916,35;9173738,8;2725481,73;5720890,06
Firma I;108854,09;108854,09;1156832,5;85708,28;1074099,67;1795388,38;657662,07;1702473,45;2037748,52;2364081,62
Firma J;195998,63;195540,3;1786228,69;2624498,02;1899585,49;2136064,19;16799650,56;1141515,02;4142,29;3590776,76
Firma K;207954,01;2080227,58;698825,91;166125,06;1660540,47;3696191,81;1443290,62;1097333,66;3813014,33;2171215,75
Firma L;194791,53;253123,65;1071124,23;8732822,45;2679643,89;5720890,06;2286647,23;389928,43;2901477,06;366208,07
Firma M;332997,17;344226,33;1149270;987478,45;2037748,52;2364081,62;1706373,76;1139742,25;773913,52;1074568,78
Firma N;265833,14;295832,89;1789320,81;1141515,02;4142,29;3590776,76;-6184,26;1786119,22;980828,14;2121491,54
Firma O;-1808,61;30962,21;32770,81;1097333,66;1733474,25;91675,67;1397651,81;842949,94;742855,14;1069315,62
Firma P;244146,78;250214,34;6067,57;389928,43;2706685,54;171416,55;2114269,48;9831525,66;1372312,8;329855,05
Firma Q;393020,55;438858,39;45837,84;1139742,25;440916,35;741571,61;8458157,4;1068032,1;8792845,83;393020,55
Firma R;440916,35;526624,62;85708,28;1786119,22;714995;1855658,4;732874,47;1848095,91;1162561,66;440916,35
Firma S;714995;687016,03;698825,91;8429490,94;744663,74;1071124,23;1173323,36;5720890,06;1858318,61;714995
Firma T;544957,94;8458157,4;1068032,1;912699,75;1156832,5;85708,28;885957,69;2364081,62;853186,88;1071124,23
Firma U;-2866,47;732874,47;1848095,91;1866989,71;698825,91;8429490,94;294725,45;3590776,76;8729730,33;85708,28
Firma V;83998,26;1173323,36;2860445,03;10487438,71;1068032,1;9132699,75;1139742,25;440916,35;1686304,36;2037748,52
Firma W;721645,31;885957,69;1182040,81;1589036,79;1848095,91;1894968,67;1786119,22;714995;2212639,24;415542,29
Firma X;114332,37;2975,45;1795388,38;1914894,97;2860445,03;2029281,31;842949,94;744663,74;1097333,66;1733474,25
Firma Y;853186,88;744663,74;45837,84;2741616,09;1182040,81;856162,33;9132699,75;1156832,5;389928,43;2706685,54
Firma Z;45837,84;1795388,38;732874,47;865290,94;1899585,49;698825,91;1182040,81;742855,14;440916,35;85708,28
